,longueur,v_longueur,largeur,v_largeur,r,v,b,v_rvb,sucre,v_sucre,eau,v_eau,fibres,v_fibre
abricot,7.0,0.5,5.0,230.0,126.0,48.0,10.0,2.0,5.0,5.0,87.0,5.0,1.8,0.5
pomme,8.0,3.0,8.0,52.0,201.0,36.0,40.0,50.0,1.5,1.5,85.0,3.0,1.4,1.0
carotte,15.0,7.0,3.0,244.0,102.0,27.0,10.0,4.0,1.0,1.0,90.0,3.0,2.7,0.6
cerise,2.0,0.5,2.0,187.0,11.0,11.0,15.0,10.0,5.0,5.0,83.6,5.0,1.7,0.5
banane,20.0,5.0,3.0,209.0,182.0,6.0,20.0,5.0,4.0,4.0,75.8,5.0,2.0,1.0
tomate,10.0,5.0,10.0,222.0,41.0,22.0,20.0,220.0,0.5,1.0,94.0,5.0,1.2,0.6
poire,10.0,5.0,6.0,190.0,245.0,116.0,40.0,20.0,1.5,1.5,83.5,3.0,3.0,1.0
patate,10.0,5.0,8.0,255.0,203.0,96.0,30.0,10.0,0.01,0.01,78.0,1.0,1.8,0.1
prune,4.0,0.5,3.0,129.0,20.0,83.0,90.0,10.0,0.5,0.5,87.0,6.0,1.5,0.3
poivron,10.0,3.0,8.0,255.0,0.0,0.0,10.0,3.0,1.0,1.0,90.0,2.0,2.2,0.1
abricot0,7.091331759332025,0.5,346.72465293693756,230.0,126.0,48.0,10.0,2.0,5.0,5.0,87.0,5.0,1.8,0.5
abricot1,7.0,0.5,5.0,230.0,125.1327692371596,48.32253517250126,7.926137457801088,2.0,5.0,5.0,87.0,5.0,1.8,0.5
abricot2,7.17863978287712,0.5,4.622292018252001,230.0,126.62847047567858,48.347694913388395,9.061751800957088,2.0,5.236317187719129,5.0,81.72724099342781,5.0,1.736578571215158,0.5
abricot3,5.618773952804421,0.5,-335.4797675854624,230.0,126.0,48.0,10.0,2.0,5.0,5.0,87.0,5.0,1.8,0.5
abricot4,7.0,0.5,5.0,230.0,130.3524651175581,47.937109985953775,9.999653556390525,2.0,5.0,5.0,87.0,5.0,1.8,0.5
