livres,miss,comte,duc,oncle,tu,prince,roi,capitaine,abbé,lady,docteur,comtesse,princesse,ça,chevalier,nefs,sir,marquis,roubles,château,empereur,madame,monsieur,major,blaireau,écria,juif,tante,épée,malgaches,baron,sire,curé,matador,mademoiselle,colonel,lord,corinthien,très,prieur,vous,siam,argiens,fus,fritz,templier,assemblée,milles,évêque,mère,armée,londres,pocket,couvent,anglais,reine,officiers,navire,déroute,hobby,régiment,gouverneur,troupes,majesté,nègres,angleterre,maire,russe,dine,frère,ministre,colonelle,président,avais,moine,professeur,mari,sergent,soldats,lieutenant,serge,prêtre,général,francs,thé,napoléon,connétable,cavaliers,milord,monseigneur,paris,vaisseau,maman,chapitre,père,fis,nation,bourgogne,avait,as,dollars,guerre,airain,cheval,peuple,chaloupe,rosalie,saint,duchesse,sud,berlin,fille,messire,camp,écossais,dieux,indiens,toi,officier,reprit,inspecteur,équipage,maison,voiture,rue,ambassadeur,avocat,ingénieur,esclaves,village,français,rivage,cousine,papa,vieillard,messieurs,mit,gentilhomme,cousin,regarda,charlot,cour,boum,bretons,expérimentale,vidame,rivière,détective,bute,salon
les_brigands - schiller,0.0,0.004216544577452207,0.0,0.00017866714311238162,0.009898159728425943,0.00014293371448990532,0.00035733428622476324,0.0025728068608182955,0.0,0.0,0.0,0.0,3.573342862247633e-05,0.00014293371448990532,0.0,0.0,0.0,0.0,0.0,0.0006432017152045739,0.0,0.0,3.573342862247633e-05,0.0,0.0,0.0,0.0,0.0,0.001107736287296766,0.0,0.0,0.0,0.0,0.0,0.0002501340003573343,0.0,0.0,0.0,3.573342862247633e-05,0.0,0.008826156869751653,0.0,0.0,0.00010720028586742898,0.0,0.0,0.0,3.573342862247633e-05,0.0,0.0002501340003573343,0.00010720028586742898,3.573342862247633e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.146685724495266e-05,3.573342862247633e-05,0.00028586742897981064,0.0,0.0,0.0,0.0,0.0,0.0007861354296944792,0.00014293371448990532,0.0,0.0,0.0002501340003573343,0.0005002680007146686,0.0,0.0,3.573342862247633e-05,0.00010720028586742898,0.0,0.0,3.573342862247633e-05,0.00010720028586742898,0.0,0.0,0.0,0.0,0.00021440057173485795,0.0,0.00017866714311238162,3.573342862247633e-05,3.573342862247633e-05,0.0,0.0,0.0036448097194925855,0.0,0.0,0.0,0.0011792031445417189,0.0017866714311238164,0.0,0.00021440057173485795,7.146685724495266e-05,0.00017866714311238162,0.0,0.0,0.0,0.00010720028586742898,0.0,0.0,0.0,0.0006074682865820976,0.0,0.0,0.0,3.573342862247633e-05,0.0,0.003144541718777917,7.146685724495266e-05,0.0,0.0,0.0,0.00014293371448990532,7.146685724495266e-05,0.00014293371448990532,0.0,0.0,0.0,0.00014293371448990532,7.146685724495266e-05,0.0,7.146685724495266e-05,0.0,0.0,0.001107736287296766,7.146685724495266e-05,0.0,0.0002501340003573343,3.573342862247633e-05,0.0,0.0,0.00010720028586742898,0.0,0.0,0.0,0.0,7.146685724495266e-05,0.0,0.0,3.573342862247633e-05
maison_du_peche - tinayre,0.0,2.6454676525442784e-05,0.0,7.936402957632836e-05,0.0018386000185182736,0.0,6.613669131360696e-05,0.00039682014788164176,0.0010581870610177114,0.0,3.968201478816418e-05,0.0,0.0,0.0007804129575005622,7.936402957632836e-05,1.3227338262721392e-05,0.0,0.0,0.0,2.6454676525442784e-05,0.0,0.001216915120170368,0.0012698244732212538,0.0,0.0,0.00029100144177987065,0.0,0.00021163741220354228,1.3227338262721392e-05,0.0,0.0,0.0,0.0006613669131360696,0.0,7.936402957632836e-05,0.0,0.0,0.0,0.0013624158410603035,1.3227338262721392e-05,0.018491818891284508,0.0,0.0,0.0,0.0,0.0,1.3227338262721392e-05,0.0,0.00010581870610177114,0.0016137352680520099,3.968201478816418e-05,0.0,0.0,0.00014550072088993532,0.0,5.290935305088557e-05,0.0,1.3227338262721392e-05,0.0,0.0,0.0,0.0,1.3227338262721392e-05,2.6454676525442784e-05,0.0,1.3227338262721392e-05,0.0,0.0,0.0,9.259136783904974e-05,1.3227338262721392e-05,0.0,0.0,0.00044972950093252734,1.3227338262721392e-05,2.6454676525442784e-05,0.00014550072088993532,0.0,0.0,0.0,1.3227338262721392e-05,0.00039682014788164176,2.6454676525442784e-05,3.968201478816418e-05,2.6454676525442784e-05,0.0,0.0,0.0,0.0,1.3227338262721392e-05,0.000304228780042592,1.3227338262721392e-05,0.00010581870610177114,0.0,0.0005687755452970199,0.0,0.0,0.0,0.004126929537969074,0.00021163741220354228,0.0,0.0,0.0,9.259136783904974e-05,0.00015872805915265672,0.0,0.0,0.0003571381330934776,1.3227338262721392e-05,0.0,0.0,0.0005820028835597413,3.968201478816418e-05,0.0,0.0,1.3227338262721392e-05,0.0,0.0003306834565680348,1.3227338262721392e-05,0.00021163741220354228,0.0,0.0,0.0010581870610177114,0.00023809208872898507,0.00018518273567809948,0.0,0.0,0.0,0.0,0.00010581870610177114,3.968201478816418e-05,0.0,1.3227338262721392e-05,1.3227338262721392e-05,0.00013227338262721393,0.00013227338262721393,0.00018518273567809948,0.00010581870610177114,0.00010581870610177114,0.00014550072088993532,0.0,0.000304228780042592,0.0,1.3227338262721392e-05,0.0,0.0,1.3227338262721392e-05,0.0,0.0,0.0003306834565680348
le_retour_de_casanova - schnitzler,0.0,2.9235491887151003e-05,0.0,0.000146177459435755,0.00146177459435755,0.00011694196754860401,5.8470983774302006e-05,0.0,0.0010524777079374361,0.0,5.8470983774302006e-05,0.0,2.9235491887151003e-05,0.00011694196754860401,0.0017833650051162111,0.0,0.0,0.002601958777956439,0.0,0.00011694196754860401,0.0,0.0,0.0013448326268089461,0.0,0.0,0.000497003362081567,0.0,0.0,0.000438532378307265,0.0,0.000146177459435755,0.0,0.0,0.0,0.0,5.8470983774302006e-05,0.0,0.0,0.0008185937728402281,0.0,0.00818593772840228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029235491887151,0.0,5.8470983774302006e-05,0.0,0.00029235491887151,0.0,0.0,5.8470983774302006e-05,2.9235491887151003e-05,0.0,0.0,5.8470983774302006e-05,0.0,0.0,0.0,0.0,2.9235491887151003e-05,0.0,0.0,0.0,8.7706475661453e-05,0.0,0.0,0.0,0.00011694196754860401,2.9235491887151003e-05,0.00011694196754860401,0.00023388393509720802,0.0,0.0,0.0007893582809530771,0.0,5.8470983774302006e-05,8.7706475661453e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000146177459435755,0.0,2.9235491887151003e-05,8.7706475661453e-05,0.000497003362081567,0.0,0.0,0.0,0.007776640841982167,0.000175412951322906,0.0,2.9235491887151003e-05,0.0,0.000175412951322906,0.0,0.0,0.0,0.0,8.7706475661453e-05,5.8470983774302006e-05,0.0,0.000730887297178775,0.0,0.0,0.0,0.0,0.0,0.00029235491887151,0.00020464844321005702,0.00026311942698435903,0.0,2.9235491887151003e-05,0.0015787165619061542,0.0010524777079374361,0.0,0.0,0.0,0.0,0.0,0.000146177459435755,5.8470983774302006e-05,0.0,0.0,2.9235491887151003e-05,0.00023388393509720802,0.00020464844321005702,0.000847829264727379,2.9235491887151003e-05,0.0,0.00011694196754860401,0.0,8.7706475661453e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
st_pierre_paul_et_virginie - bernardin,0.0,0.0,0.0,0.0,0.000673950056753689,5.3206583427922814e-05,0.00012414869466515323,3.547105561861521e-05,1.7735527809307605e-05,0.0,0.0,1.7735527809307605e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3206583427922814e-05,0.001613933030646992,7.094211123723042e-05,0.0,0.0,0.00014188422247446084,0.0,0.0003015039727582293,0.0,0.0,0.0,0.0,1.7735527809307605e-05,0.0,0.00015961975028376844,0.0,0.0,0.0,0.0003724460839954597,0.0,0.006260641316685585,0.0,0.0,0.00015961975028376844,0.0,0.0,1.7735527809307605e-05,0.0,0.0,0.0010109250851305335,1.7735527809307605e-05,3.547105561861521e-05,0.0,0.0,8.867763904653802e-05,1.7735527809307605e-05,0.0,0.0,0.0,0.0,0.0,0.0004965947786606129,3.547105561861521e-05,0.0,0.0,7.094211123723042e-05,0.0,1.7735527809307605e-05,0.0,0.0004788592508513053,5.3206583427922814e-05,0.0,1.7735527809307605e-05,0.0006916855845629966,0.0,1.7735527809307605e-05,5.3206583427922814e-05,0.0,7.094211123723042e-05,0.0,0.0,1.7735527809307605e-05,5.3206583427922814e-05,5.3206583427922814e-05,0.0,3.547105561861521e-05,0.0,0.0,0.0,0.0,0.00023056186152099886,0.0007803632236095346,0.00012414869466515323,0.0,0.0004788592508513053,3.547105561861521e-05,5.3206583427922814e-05,0.0,0.0037067253121452893,0.00019509080590238365,0.0,0.00017735527809307605,0.0,7.094211123723042e-05,0.00010641316685584563,1.7735527809307605e-05,0.0,7.094211123723042e-05,0.0,7.094211123723042e-05,0.0,0.0008690408626560726,0.0,0.0,0.0,5.3206583427922814e-05,5.3206583427922814e-05,0.0003369750283768445,0.0,0.00017735527809307605,0.0,1.7735527809307605e-05,0.0003901816118047673,0.0,1.7735527809307605e-05,0.0,0.0,1.7735527809307605e-05,0.00012414869466515323,3.547105561861521e-05,7.094211123723042e-05,0.00026603291713961407,0.0,0.0,0.0004611237230419977,1.7735527809307605e-05,0.00026603291713961407,3.547105561861521e-05,0.0,1.7735527809307605e-05,0.0,0.00017735527809307605,0.0,0.0,0.0,0.0,0.0005675368898978433,0.0,0.0,3.547105561861521e-05
marie_claire - audoux,0.0,0.0,0.0,0.0,0.0008936825885978428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.081664098613251e-05,0.00018489984591679506,0.0,0.0,0.0,0.0,0.0,9.244992295839753e-05,0.0,3.081664098613251e-05,0.00018489984591679506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007087827426810478,0.0,0.00012326656394453004,0.0,0.0,0.0,0.002403697996918336,0.0,0.0018798151001540831,0.0,0.0,0.0005855161787365177,0.0,0.0,0.0,0.0,0.0,0.0008628659476117103,0.0,0.0,0.0,3.081664098613251e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033898305084745765,0.0,0.0,0.0,0.003574730354391371,0.0,0.0,0.00012326656394453004,0.0,0.0,0.0,0.0,0.0,0.0,3.081664098613251e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00015408320493066256,0.0,3.081664098613251e-05,0.0,0.00033898305084745765,0.0003697996918335901,0.0,0.0,0.007426810477657936,0.00012326656394453004,0.0,3.081664098613251e-05,0.0,0.00012326656394453004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006471494607087827,0.0,0.0,0.0,0.0,0.0,0.00033898305084745765,0.0,0.00040061633281972264,0.0,0.0,0.0016024653312788906,0.0005855161787365177,3.081664098613251e-05,0.0,0.0,0.0,0.0,0.0002465331278890601,0.0,0.0,0.0,0.0,3.081664098613251e-05,3.081664098613251e-05,0.0010477657935285055,0.0,0.0,0.00021571648690292758,0.0,0.0002465331278890601,0.0,0.0,0.0,0.0,0.0003081664098613251,0.0,0.0,0.0
verne_voyage_centre_terre - jules,0.0,1.6271539450347396e-05,0.0,0.006720145792993475,0.0015295247083326553,1.6271539450347396e-05,6.508615780138958e-05,0.00014644385505312656,0.0,0.0,1.6271539450347396e-05,0.0,0.0,8.135769725173699e-05,0.0,0.0,1.6271539450347396e-05,0.0,0.0,4.8814618351042194e-05,0.0,0.0,0.00019525847340416878,0.0,0.0,0.0005044177229607693,1.6271539450347396e-05,0.0,0.0,0.0,4.8814618351042194e-05,0.0,0.0,0.0,1.6271539450347396e-05,0.0,0.0,0.0,0.0005857754202125063,0.0,0.0010739216037229282,0.0,0.0,0.0002928877101062531,0.0,0.0,0.0,0.00016271539450347399,3.254307890069479e-05,6.508615780138958e-05,4.8814618351042194e-05,1.6271539450347396e-05,0.0,0.0,0.00013017231560277917,0.0,0.0,9.762923670208439e-05,0.0,0.0,0.0,0.00011390077615243178,0.0,0.0,0.0,6.508615780138958e-05,4.8814618351042194e-05,0.0,0.0,0.0,1.6271539450347396e-05,0.0,0.0,0.0009925639064711912,0.0,0.002863790943261142,0.0,0.0,0.0,0.0,0.0,0.0,8.135769725173699e-05,0.0,1.6271539450347396e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.6271539450347396e-05,0.0,1.6271539450347396e-05,0.0,0.00019525847340416878,0.0,0.0,0.0022292009046975935,0.00013017231560277917,0.0,1.6271539450347396e-05,0.0,9.762923670208439e-05,0.0,0.0,0.0,3.254307890069479e-05,0.0,0.00022780155230486357,0.0,8.135769725173699e-05,0.0,1.6271539450347396e-05,0.0,3.254307890069479e-05,0.0,0.00017898693395382138,1.6271539450347396e-05,0.00040678848625868495,0.0,1.6271539450347396e-05,0.0005369608018614641,6.508615780138958e-05,0.00016271539450347399,1.6271539450347396e-05,0.0,0.0,0.0,1.6271539450347396e-05,0.00011390077615243178,0.00042306002570903235,0.0,0.0,0.0,6.508615780138958e-05,0.00021153001285451617,0.0,0.0,8.135769725173699e-05,0.0,1.6271539450347396e-05,0.0,0.0,0.0,0.0,1.6271539450347396e-05,0.0,0.0,1.6271539450347396e-05
coups_epee_m_de_la_guerche - achard,0.0,0.0022494485575138136,0.0005132237000152875,6.551791915088777e-05,0.0017253052043067112,8.735722553451703e-05,0.0029155474022145057,0.002162091331979296,1.0919653191814629e-05,0.0,0.0,3.2758959575443885e-05,0.00010919653191814628,0.0001528751446854048,1.0919653191814629e-05,0.0,0.0,0.0006988578042761362,0.0,0.0007097774574679509,0.0002729913297953657,0.0002620716766035511,0.0017471445106903404,0.0,0.0,0.0011574832383323505,1.0919653191814629e-05,0.0,0.0016379479787721942,0.0,0.0005787416191661753,0.0001965537574526633,2.1839306383629258e-05,0.0,0.00010919653191814628,0.0,0.0,0.0,6.551791915088777e-05,0.0,0.010493786717333857,0.0,0.0,0.0,0.0,0.0,4.3678612767258515e-05,0.0,1.0919653191814629e-05,0.0001965537574526633,0.0006770184978925069,0.0,0.0,8.735722553451703e-05,5.459826595907314e-05,7.64375723427024e-05,0.0001965537574526633,0.0002620716766035511,2.1839306383629258e-05,0.0,6.551791915088777e-05,2.1839306383629258e-05,0.00021839306383629256,0.0002620716766035511,0.0,0.0,0.0,0.0,0.0,8.735722553451703e-05,0.0002402323702199218,0.0,0.0,0.0004913843936316583,0.00010919653191814628,0.0,4.3678612767258515e-05,5.459826595907314e-05,0.0004367861276725851,6.551791915088777e-05,1.0919653191814629e-05,0.0,0.00020747341064447793,1.0919653191814629e-05,0.0,0.0,0.0,0.00037126820852169737,0.0,0.00022931271702810718,2.1839306383629258e-05,6.551791915088777e-05,0.0,2.1839306383629258e-05,0.0005241433532071022,0.0,1.0919653191814629e-05,0.0,0.005994889602306231,0.0003057502893708096,0.0,0.0008080543361942825,0.0,0.001528751446854048,0.0001528751446854048,1.0919653191814629e-05,0.0,0.00021839306383629256,1.0919653191814629e-05,1.0919653191814629e-05,8.735722553451703e-05,0.0006115005787416191,1.0919653191814629e-05,0.00041494682128895586,1.0919653191814629e-05,2.1839306383629258e-05,0.0,0.000469545087248029,0.00033850924894625344,0.0008189739893860971,0.0,7.64375723427024e-05,0.0007316167638515801,5.459826595907314e-05,9.827687872633165e-05,9.827687872633165e-05,0.0,0.0,0.0,6.551791915088777e-05,0.00029483063617899495,7.64375723427024e-05,9.827687872633165e-05,0.0,0.00010919653191814628,0.0003057502893708096,0.00040402716809714124,0.0007097774574679509,3.2758959575443885e-05,0.0004367861276725851,0.0,0.000382187861713512,0.0,0.0,0.0,0.0,4.3678612767258515e-05,0.0,0.0,0.0
laissez_moi - sauvageot,0.0,0.0,0.0,0.0,0.007939339875111508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.920606601248885e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016057091882247993,0.0,0.033719892952720786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023193577163247102,0.0,0.0,0.0010704727921498661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001784121320249777,0.0,0.0,0.0,0.0,0.0,0.0005352363960749331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001694915254237288,0.0009812667261373774,0.0,0.0,0.0,0.0001784121320249777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.920606601248885e-05,0.0,0.0,0.0,0.0,0.0,0.0008028545941123997,0.0,0.0,0.0,0.0,8.920606601248885e-05,0.0,8.920606601248885e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ma_femme - tchekhov,1.7624561589030473e-05,0.0001233719311232133,0.0,7.049824635612189e-05,0.0011632210648760111,0.00021149473906836568,0.0,0.0001233719311232133,0.0,0.0,0.0003172421086025485,1.7624561589030473e-05,1.7624561589030473e-05,0.0004582386013147923,1.7624561589030473e-05,0.0,0.0,0.0,0.0005639859708489751,5.287368476709142e-05,0.0,1.7624561589030473e-05,0.0003172421086025485,3.5249123178060946e-05,0.0,7.049824635612189e-05,1.7624561589030473e-05,0.00021149473906836568,0.0,0.0,3.5249123178060946e-05,0.0,3.5249123178060946e-05,0.0,1.7624561589030473e-05,1.7624561589030473e-05,0.0,0.0,0.001639084227779834,0.0,0.00932339308059712,0.0,0.0,0.00010574736953418284,0.0,0.0,5.287368476709142e-05,0.0,0.0,0.0005816105324380056,3.5249123178060946e-05,0.0,0.0,1.7624561589030473e-05,3.5249123178060946e-05,5.287368476709142e-05,0.000334866670191579,0.0,0.0,0.0,0.00021149473906836568,8.812280794515236e-05,0.0,0.0,0.0,0.0,0.0,0.00021149473906836568,0.0,0.00028199298542448757,0.0,0.0,8.812280794515236e-05,0.0008812280794515237,1.7624561589030473e-05,0.0002643684238354571,0.0009164772026295846,0.0,5.287368476709142e-05,3.5249123178060946e-05,0.0,0.0,0.00029961754701351805,8.812280794515236e-05,0.0005816105324380056,0.0,0.0,1.7624561589030473e-05,0.0,0.0,1.7624561589030473e-05,0.0,0.00015862105430127426,0.0,0.000669733340383158,0.0002467438622464266,0.0,0.0,0.0041065228502441,0.00017624561589030472,0.0,8.812280794515236e-05,0.0,0.0003877403549586704,0.0001233719311232133,0.0,0.0,1.7624561589030473e-05,1.7624561589030473e-05,0.0,0.0,0.0005463614092599447,1.7624561589030473e-05,3.5249123178060946e-05,0.0,1.7624561589030473e-05,0.0,0.0001233719311232133,7.049824635612189e-05,0.00010574736953418284,0.0,0.0,0.0015333368582456511,0.00017624561589030472,0.00035249123178060943,0.0,8.812280794515236e-05,5.287368476709142e-05,0.0,0.00028199298542448757,7.049824635612189e-05,0.0,0.0,0.00014099649271224378,7.049824635612189e-05,8.812280794515236e-05,0.0009164772026295846,3.5249123178060946e-05,0.0,0.0004582386013147923,0.0,0.0005111122860818837,5.287368476709142e-05,0.0,0.0,0.0,8.812280794515236e-05,0.0,0.0,0.0005111122860818837
rouge_esclave_amoureuse - le,0.0,0.0,0.0,0.0,0.002015562013687072,4.6873535202024934e-05,0.0,0.0,0.0,0.0,0.0010312177744445487,0.0,0.0,0.0001406206056060748,0.0,0.0,4.6873535202024934e-05,0.0,0.0,4.6873535202024934e-05,4.6873535202024934e-05,0.0,0.00042186181681822443,0.0,0.0,0.0004687353520202494,0.0,0.00032811474641417456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009843442392425236,0.0,0.005906065435455142,0.0,0.0,0.0,0.0,0.0,0.0,9.374707040404987e-05,0.0,0.0013593325208587231,0.0,0.0,0.0,0.0,4.6873535202024934e-05,0.0,0.0,4.6873535202024934e-05,0.0,0.0,0.0,0.0,4.6873535202024934e-05,4.6873535202024934e-05,0.0002343676760101247,4.6873535202024934e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018749414080809974,0.0,0.0,0.0002343676760101247,0.0,4.6873535202024934e-05,0.0,0.0,0.0,0.0002812412112121496,4.6873535202024934e-05,0.0,0.0001406206056060748,0.0,0.0,4.6873535202024934e-05,0.0,4.6873535202024934e-05,0.0,4.6873535202024934e-05,0.0,0.0007968500984344239,0.0,0.0,0.0001406206056060748,0.007452892097121965,0.0004687353520202494,0.0006562294928283491,0.0,0.0,0.00037498828161619947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010780913096465736,0.0,0.0,0.0,4.6873535202024934e-05,0.0,0.0004687353520202494,0.0,0.00018749414080809974,0.0,0.0,0.0005624824224242992,4.6873535202024934e-05,0.0,0.0,0.0,0.0,0.0008905971688384738,4.6873535202024934e-05,0.0002812412112121496,0.0,0.0,4.6873535202024934e-05,0.0,9.374707040404987e-05,0.00032811474641417456,0.0001406206056060748,0.0,0.0002343676760101247,0.0,0.0001406206056060748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6873535202024934e-05
