,longueur,v_longueur,largeur,v_largeur,teinte,v_teinte,sucre,v_sucre,eau,v_eau,fibres,v_fibre
abricot,7.0,0.5,5.0,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
pomme,8.0,3.0,8.0,3.0,0.0,50.0,9.5,1.5,85.0,3.0,1.4,1.0
carotte,15.0,7.0,3.0,1.5,10.0,4.0,5.4,1.0,90.0,3.0,2.7,0.6
cerise,2.0,0.5,2.0,0.5,95.0,10.0,11.6,5.0,83.6,5.0,1.7,0.5
banane,20.0,5.0,3.0,0.5,30.0,5.0,14.8,4.0,75.8,5.0,2.0,1.0
tomate,10.0,5.0,10.0,5.0,0.0,20.0,2.2,0.5,94.0,5.0,1.2,0.6
poire,10.0,5.0,6.0,5.0,60.0,20.0,9.0,1.5,83.5,3.0,3.0,1.0
patate,10.0,5.0,8.0,4.0,30.0,10.0,0.8,0.01,78.0,1.0,1.8,0.1
prune,4.0,0.5,3.0,0.5,90.0,10.0,8.8,0.5,87.0,6.0,1.5,0.3
poivron,10.0,3.0,8.0,2.0,0.0,3.0,6.0,1.0,90.0,2.0,2.2,0.1
abricot0,7.190939188987745,0.5,4.829130557281402,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot1,7.0,0.5,5.0,0.6,12.575223343527325,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot2,6.502605160702816,0.5,4.774687234536166,0.6,13.949189468186034,2.0,1.9650623162338938,5.0,76.7780042329124,5.0,1.1615817494402583,0.5
abricot3,6.354647812225016,0.5,5.003218916128354,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot4,7.0,0.5,5.0,0.6,16.67273362645624,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot5,6.610646117440302,0.5,5.415589511190385,0.6,15.478921821387898,2.0,11.375417564865975,5.0,90.86060576165087,5.0,1.248817306427748,0.5
abricot6,7.710158918271648,0.5,4.493602999516473,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot7,7.0,0.5,5.0,0.6,15.63728540747323,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot8,7.340350169430113,0.5,4.8551935056923465,0.6,12.957877666318288,2.0,12.813031431500397,5.0,74.60633687867983,5.0,1.4282039344175752,0.5
abricot9,7.125217497198367,0.5,5.385169726830826,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot10,7.0,0.5,5.0,0.6,12.66587946814559,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot11,7.523185660507134,0.5,4.3892925908302685,0.6,16.60759544559469,2.0,4.0279388894346,5.0,77.48654249678162,5.0,1.640928759828919,0.5
abricot12,7.2066171726701,0.5,5.214756049042591,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot13,7.0,0.5,5.0,0.6,14.643313153326279,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot14,6.708055947098166,0.5,4.35488326546203,0.6,12.48636298313809,2.0,8.530014829361006,5.0,80.33126576754687,5.0,1.7747482899193088,0.5
abricot15,7.099336827392516,0.5,4.3890317598497575,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot16,7.0,0.5,5.0,0.6,15.79193829523736,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot17,6.904108693699947,0.5,4.752720433937339,0.6,18.53694278385551,2.0,0.8213804166120857,5.0,86.34219606801726,5.0,2.5710119742167405,0.5
abricot18,6.842712257624218,0.5,4.499082772738063,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot19,7.0,0.5,5.0,0.6,19.38749882283252,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot20,7.2752738365777185,0.5,4.141657921541558,0.6,16.54363863230453,2.0,10.737117592906142,5.0,96.77784957093955,5.0,1.3530277665687547,0.5
abricot21,6.383172985868788,0.5,4.433329286576588,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot22,7.0,0.5,5.0,0.6,16.383896789288176,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot23,6.709053906781822,0.5,5.789003687782885,0.6,15.975235535636472,2.0,11.788719485293377,5.0,86.5078661027635,5.0,1.9678792766670963,0.5
abricot24,6.885321602255022,0.5,5.651730440081264,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot25,7.0,0.5,5.0,0.6,14.033406416088182,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot26,6.981650189841437,0.5,5.273120074300411,0.6,12.2965725654886,2.0,5.084699802352494,5.0,81.32728336282861,5.0,2.337911101595397,0.5
abricot27,7.7317924265420315,0.5,4.80380625832698,0.6,15.0,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot28,7.0,0.5,5.0,0.6,15.841446828101608,2.0,6.6,5.0,87.0,5.0,1.8,0.5
abricot29,6.144523373770631,0.5,5.944113653252495,0.6,16.365373011988705,2.0,-0.4917126670477474,5.0,88.0253003364972,5.0,1.2451888125854116,0.5
