StarSpctr;OtherPlanets;Position;SemiMajorAxis;OrbitalExc;OrbitalInc;OrbitalPeriod;AxisIncl;Moons;Diameter;Density;Magnetosphere;AtmPressure;Albedo;DayPeriod;Tmin;Tmax;PH2O;PHe;PCH4;PH2;PN2;PO2;PAr;PCO2;PSO2;PK;Type
8;0;5;3.7923;0.009;0.145;4875.98;41.32;1;14132;7.63;128.19;1.43;0.17;0.406;-88;-9;0;0;0;0;2.2;1.5;0;96.3;0;0;d
10;0;3;1.3557;0.0172;1.331;2537.04;20.45;0;3500;5.18;5;0.05;0.24;1.674;-184;-8;0;0;0;0;0;0.01;0;0;0;0;r
8;9;9;7.2119;0.0404;1.684;5861.77;45.24;3;43905;3.91;220.72;4.16;0.29;0.573;-183;517;0.1;11.2;1.6;86.5;0;0;0;0;0.6;0;g
8;7;6;3.7719;0.0368;2.49;9531.86;16.82;3;7358;7.55;73.03;0.39;0.42;1.452;-236;-213;0;1.01;0;4.56;65.2;23.3;1.83;4.1;0;0;i
7;4;4;3.293;0.0024;1.518;3219.98;0.09;0;16039;4.42;89.24;1.06;0.25;1.416;-90;-46;0;0;0;0;3.3;0.4;0;96.3;0;0;d
3;0;8;8.8211;0.0437;3.27;25824.05;19.89;1;14961;4.98;79.19;0.88;0.2;2.032;-177;-133;0;0;0;0;2.8;0.5;0;96.7;0;0;d
5;1;2;1.9735;0.004;1.211;5301.94;9.26;0;3500;3.41;3;0.01;0.4;5174.693;-157;95;0;0;0;0;0;0.01;0;0;0;0.02;r
10;9;5;3.119;0.0038;0.289;1174.53;6.2;7;38115;2.77;143.29;2.24;0.45;0.977;-183;-16;0.3;13.7;1.6;84.4;0;0;0;0;0;0;g
9;1;9;5.1797;0.0818;1.362;39635.35;28.2;1;3500;3.37;7;0.07;0.51;1.973;-185;78;0;0;0;0;0;0;0;0;0;0.02;r
6;1;4;4.0729;0.0156;2.075;5809.89;34.77;1;13784;9.75;184.2;2.11;0.41;0.328;-145;-70;0;0.6;0;19.3;45.6;15.7;1;17.8;0;0;i
8;8;5;3.7275;0.0161;0.095;3016.13;31.59;1;22261;9.98;292.08;5.24;0.27;0.641;-148;-97;0;2.5;0;30.3;42.7;4.7;7.5;12.3;0;0;i
7;1;10;8.3388;0.1882;1.545;116204.68;70.98;2;3500;3.82;12;0.1;0.64;1.873;-198;129;0;0;0;0;0;0.02;0;0;0;0.01;r
2;0;10;12.0253;0.0377;0.048;39640.8;21.56;3;18000;7.78;184.11;3.01;0.36;1.24;-58;-34;0;1.3;0;3.8;40.1;31.2;3.6;20;0;0;i
5;4;6;5.8682;0.0053;0.008;32269.51;28.87;0;5097;9.5;65.69;0.28;0.31;0.98;-113;-69;0;0.53;0;1.43;57.43;29.9;1.51;9.2;0;0;i
4;0;10;11.1596;0.0659;1.962;14674.98;29.82;4;43138;3.08;182.21;3.12;0.26;0.402;-194;58;0.1;6.9;1.5;89.7;0;0;0;0;1.8;0;g
4;1;4;4.5984;0.0055;2.04;4165.61;11.83;4;24242;3.53;104.13;1.83;0.7;0.918;-161;86;2.4;0;2.4;0;3.1;0;1.4;90.7;0;0;d
5;1;2;1.9412;0.0059;2.495;2306.36;42.28;1;7804;5;44.75;0.29;0.18;2135.689;-109;-56;0;0;0;0;3.2;0;0;96.8;0;0;d
3;0;8;9.1433;0.0678;1.331;121664.08;42.5;0;3500;4.57;8;0.09;0.19;0.572;-111;165;0;0;0;0;0;0.01;0;0;0;0.01;r
2;3;1;1.2172;0.0003;2.215;470.45;8.08;5;14990;9.77;200.73;2.25;0.39;0.753;-103;-74;0;0.6;0;3.4;47.2;31.6;2.5;14.7;0;0;i
6;5;2;1.944;0.004;0.493;5147.53;44.32;1;3500;4.65;6;0.08;0.3;4704.842;-147;96;0;0;0;0;0;0.01;0;0;0;0.02;r
5;6;7;6.8511;0.0171;0.867;6499.4;1.94;1;34893;3.09;137.08;3.86;0.35;0.657;-199;-36;0.1;5.9;0.2;93.8;0;0;0;0;0;0;g
8;9;3;2.4385;0.006;0.512;452.31;81.14;8;57117;3.6;281.99;3.55;0.4;0.63;-202;34;0.2;7.7;0.6;88.5;0;0;0;0;3;0;g
5;4;4;3.9576;0.0224;2.498;5068.2;24.07;2;15016;4.57;72.94;0.96;0.24;1.5;-127;-97;0;0;0;0;2.5;1.2;0;96.3;0;0;d
3;0;5;6.0152;0.019;1.278;48365.56;88.42;2;3621;2.79;8;0;0.39;1.599;-211;-31;0;0;0;0;0;0;0;0;0;0;r
3;0;4;4.6166;0.0232;1.103;7013;15.44;4;14773;4.98;77.17;0.89;0.31;0.694;-192;-14;0;0;0;0;3.6;0.4;0;96;0;0;d
3;0;3;3.4932;0.013;2.468;11343.65;32.18;2;5175;7.58;50.47;0.22;0.31;1.358;-220;-201;0;0.31;0;6.97;81.41;3.3;1.01;7;0;0;i
9;8;6;4.3054;0.0245;0.006;2569.66;36.33;2;34667;1.36;52.54;1.08;0.3;2.381;-173;-73;0.3;9.5;0.9;89.3;0;0;0;0;0;0;g
5;3;2;1.9649;0.0039;1.389;3817.46;27.4;0;4821;6.68;7;0.02;0.14;3660.944;-211;28;0;0;0;0;0;0;0;0;0;0.01;r
