,longueur,v_longueur,largeur,v_largeur,r,v,b,v_rvb,sucre,v_sucre,eau,v_eau,fibres,v_fibre
abricot,7.0,0.5,5.0,0.6,230.0,126.0,48.0,10.0,2.0,5.0,87.0,5.0,1.8,0.5
pomme,8.0,3.0,8.0,3.0,52.0,201.0,36.0,40.0,50.0,1.5,85.0,3.0,1.4,1.0
carotte,15.0,7.0,3.0,1.5,244.0,102.0,27.0,10.0,4.0,1.0,90.0,3.0,2.7,0.6
cerise,2.0,0.5,2.0,0.5,187.0,11.0,11.0,15.0,10.0,5.0,83.6,5.0,1.7,0.5
banane,20.0,5.0,3.0,0.5,209.0,182.0,6.0,20.0,5.0,4.0,75.8,5.0,2.0,1.0
tomate,10.0,5.0,10.0,5.0,222.0,41.0,22.0,20.0,220.0,1.0,94.0,5.0,1.2,0.6
poire,10.0,5.0,6.0,5.0,190.0,245.0,116.0,40.0,20.0,1.5,83.5,3.0,3.0,1.0
patate,10.0,5.0,8.0,4.0,255.0,203.0,96.0,30.0,10.0,0.01,78.0,1.0,1.8,0.1
prune,4.0,0.5,3.0,0.5,129.0,20.0,83.0,90.0,10.0,0.5,87.0,6.0,1.5,0.3
poivron,10.0,3.0,8.0,2.0,255.0,0.0,0.0,10.0,3.0,1.0,90.0,2.0,2.2,0.1
abricot,6.887580062010483,0.5,4.380689296549073,0.6,230.0,126.0,48.0,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.0,0.5,5.0,0.6,220.2445401309255,132.59247295889224,48.99100092193581,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,6.5473889417032005,0.5,4.5934718400627395,0.6,238.49447270143054,130.8376504457059,44.32192570867406,10.0,1.0524306527081935,5.0,87.07924287068705,5.0,1.83680754037824,0.5
abricot,7.621639916289612,0.5,5.470894468507993,0.6,230.0,126.0,48.0,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.0,0.5,5.0,0.6,215.92699026954443,114.26341825325348,39.99067125541066,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,6.210675883200963,0.5,5.193968836372191,0.6,224.32120813151377,123.51172442448173,57.429992451010676,10.0,0.47295008492036805,5.0,76.98393986957598,5.0,1.5878168693715793,0.5
abricot,7.917832432795455,0.5,4.801711233473676,0.6,230.0,126.0,48.0,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.0,0.5,5.0,0.6,240.40373265348774,127.85218429948108,66.0730329433772,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,6.457140008958332,0.5,4.542618611488387,0.6,230.28685666848918,137.64587540945737,32.72008482646344,10.0,-3.999224327813426,5.0,87.10831695535855,5.0,2.218258289152372,0.5
abricot,7.476835322495833,0.5,4.499166173069358,0.6,230.0,126.0,48.0,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.0,0.5,5.0,0.6,219.12291563053986,130.77845445852623,43.97258312195926,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,6.663144625745997,0.5,4.6549668574061185,0.6,238.55467826208502,128.11272137662056,51.80922697285427,10.0,3.942441708269766,5.0,83.69593461864355,5.0,1.592975101823408,0.5
abricot,7.234678453525525,0.5,4.81447656229824,0.6,230.0,126.0,48.0,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.0,0.5,5.0,0.6,226.723036363573,127.3095159129346,58.22281363012396,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,6.530998305726861,0.5,5.064654619983373,0.6,226.0739977153937,133.54483936621685,49.87571204528455,10.0,6.089654416443692,5.0,88.23007807729213,5.0,2.09853380984005,0.5
abricot,7.294756939698638,0.5,5.602535886838729,0.6,230.0,126.0,48.0,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.0,0.5,5.0,0.6,241.24105289460252,112.8906473865874,33.46835675197295,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,6.510824030460805,0.5,5.155442301929594,0.6,216.80410943139768,138.5826035708113,36.68309032484727,10.0,1.8676625327905634,5.0,82.44247937571447,5.0,1.3176802562534697,0.5
abricot,7.180448256654446,0.5,4.782486934297522,0.6,230.0,126.0,48.0,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.0,0.5,5.0,0.6,228.8662648508584,117.81161921686888,67.89012888694566,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.068816604784782,0.5,5.362809092628692,0.6,224.70968057129545,124.96890736003698,59.59808543347795,10.0,6.466142592992567,5.0,88.07756636109788,5.0,1.8052312513581303,0.5
abricot,7.4331709012901275,0.5,5.1933864845831,0.6,230.0,126.0,48.0,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.0,0.5,5.0,0.6,240.97692046458351,131.30305502505038,51.92123999040892,10.0,2.0,5.0,87.0,5.0,1.8,0.5
abricot,7.509640249164264,0.5,4.804092833507519,0.6,221.7393210849174,127.93228594959494,59.494604888973186,10.0,11.820076557270049,5.0,87.28369715453174,5.0,2.277407973218695,0.5
abricot,6.836222586367427,0.5,6.289806347052611,0.6,230.0,126.0,48.0,10.0,2.0,5.0,87.0,5.0,1.8,0.5
