fruit,longueur,largeur,r,v,b,sucre,eau,fibres
abricot#petit~,5.992986524732049,4.6075816232074045,230.0,126.0,48.0,2.0,87.0,1.8
abricot#,7.0,5.0,232.09803316863474,117.72201491857686,51.81766144372589,2.0,87.0,1.8
abricot#,7.415551682628628,5.144938434489617,235.22616520217534,121.031608044167,60.40691938871245,-5.7850212292267305,80.74919312808933,1.7495282484124575
abricot#long~,7.703689666586375,5.428736142720128,230.0,126.0,48.0,2.0,87.0,1.8
abricot#plus rouge~plus vert~,7.0,5.0,244.32776830187623,143.66048390718197,54.05065495219699,2.0,87.0,1.8
abricot#,6.385738076544217,4.968914125301426,238.14251996743667,122.35702592855705,35.05541438283029,-6.576154026814313,82.96641874648094,1.741314428622313
abricot#large~,6.727846758272289,6.089327578629923,230.0,126.0,48.0,2.0,87.0,1.8
abricot#moins vert~moins bleu~,7.0,5.0,231.3398318522054,111.52610293040966,33.90085091469722,2.0,87.0,1.8
abricot#,7.411987371822921,5.14044451537152,216.75333749520982,116.92995515319095,42.32126645787244,-3.500718413934175,86.99464167807889,2.8466427817074047
abricot#petit~,6.25570408619937,4.867362817673617,230.0,126.0,48.0,2.0,87.0,1.8
abricot#plus rouge~moins vert~,7.0,5.0,246.2843868202413,109.52693398475714,52.7395379207428,2.0,87.0,1.8
abricot#,7.869286964745722,5.521327454691467,225.31811122636395,121.54386777178503,52.89042871404793,-8.739976313113768,76.9976587064676,2.1966193851192335
abricot#long~,7.874508512859196,4.808990391949066,230.0,126.0,48.0,2.0,87.0,1.8
abricot#moins vert~,7.0,5.0,224.35089711111283,113.91300063275973,49.8065538647446,2.0,87.0,1.8
abricot#,6.685899462051593,5.13871412620389,234.45113875367727,102.17163136228366,39.65545160276587,4.300683670463386,86.52658550598146,2.8816458147943598
abricot#petit~large~,6.188624631416775,5.837086849678576,230.0,126.0,48.0,2.0,87.0,1.8
abricot#,7.0,5.0,236.24978182618258,132.83132763710904,42.33642819540012,2.0,87.0,1.8
abricot#,7.696884981968916,5.429143496376005,215.97247316901084,127.7541932725221,39.607827053037525,7.3675230630100685,84.54496415081653,1.74307952726233
abricot#,6.937258020025182,5.435649903773435,230.0,126.0,48.0,2.0,87.0,1.8
abricot#,7.0,5.0,228.07399127460533,132.37027873029538,47.32477459126343,2.0,87.0,1.8
abricot#,7.226205362967416,5.669326199646989,236.84830765979723,134.53331740074114,51.32030839072557,-1.990461219667472,93.76548862545431,1.2843487180124709
abricot#,6.596226150606301,4.762059131027369,230.0,126.0,48.0,2.0,87.0,1.8
abricot#,7.0,5.0,235.216347007755,128.43995712406817,42.48857671554832,2.0,87.0,1.8
abricot#,6.972181457094461,6.1381499958094174,240.85228244413048,145.8118664661843,54.35502216135417,7.450036890186725,82.92735534010217,2.5067546627763986
abricot#,7.067189462133708,5.5374364868233865,230.0,126.0,48.0,2.0,87.0,1.8
abricot#,7.0,5.0,225.67519542277955,123.99701178488915,47.8486762967916,2.0,87.0,1.8
abricot#,6.272752416868612,5.975739144844194,238.79711650565642,146.48371239051693,62.83505979540919,6.00978985103147,93.54663774098103,1.697852423066886
abricot#petit~,6.385955101459863,5.273335719265832,230.0,126.0,48.0,2.0,87.0,1.8
abricot#,7.0,5.0,223.48121703147464,116.36696669357598,44.35376400726139,2.0,87.0,1.8
abricot#,6.70846365396709,4.611048025818521,255.3082723173681,125.14261649128653,52.019098656704465,3.9075805777703585,93.16070325352239,0.6814045406369638
abricot#large~,6.816851378509326,6.044882457142121,230.0,126.0,48.0,2.0,87.0,1.8
abricot#,7.0,5.0,228.85693371341245,131.78545842064074,53.39071373297709,2.0,87.0,1.8
abricot#,6.3486152821188275,5.623103933677432,236.85159756062424,120.5380300247697,40.06992231793905,10.417093664439884,86.87665982414913,1.7325598845453352
abricot#,7.210653521864525,4.599695300156828,230.0,126.0,48.0,2.0,87.0,1.8
abricot#,7.0,5.0,232.55249586614494,135.5919374228813,43.40448237554165,2.0,87.0,1.8
abricot#,6.7604177378165415,4.870212771394034,223.44709530790755,126.47170686097824,49.52246668451947,-0.7249498013853506,87.90802020554656,1.481963641257566
abricot#fin~,6.597894549633707,3.77066595226868,230.0,126.0,48.0,2.0,87.0,1.8
abricot#plus rouge~,7.0,5.0,243.92016893966257,122.78895616544384,46.95942784019392,2.0,87.0,1.8
abricot#,7.629224308515472,4.039726922572425,249.40644826670953,113.37619148993274,41.46074148105638,-0.907561061603718,82.10450234738796,1.683516122438928
abricot#fin~,6.508889373307796,3.7573413856831595,230.0,126.0,48.0,2.0,87.0,1.8
abricot#,7.0,5.0,230.21334017800353,125.58721588198951,47.817921547949176,2.0,87.0,1.8
abricot#,6.2593785407171065,4.980423155108937,226.362061558191,113.87413432437226,55.66505354863357,-4.828651862870043,83.54891894929887,1.538424358413136
abricot#,7.150089094974648,4.575071497081799,230.0,126.0,48.0,2.0,87.0,1.8
abricot#moins rouge~,7.0,5.0,219.76527933098555,116.35481502055934,50.18074134967406,2.0,87.0,1.8
abricot#,7.312815163046471,4.678042336918658,232.22172565498155,123.7415230397027,39.43206109114962,5.5444562423952615,90.57225055900832,1.8711480990802911
abricot#,6.660432539195293,5.597511562923652,230.0,126.0,48.0,2.0,87.0,1.8
abricot#plus rouge~,7.0,5.0,249.30735186503426,133.324997862715,49.88872778744314,2.0,87.0,1.8
abricot#,5.827703644731545,4.996880508043485,247.49931416592665,101.50823108217884,32.35643032071889,6.795881818019253,81.99716347511544,1.9061088310858667
abricot#large~,6.997249704911686,6.231528294808103,230.0,126.0,48.0,2.0,87.0,1.8
abricot#,7.0,5.0,238.126732058923,126.39029616092967,50.226774116965665,2.0,87.0,1.8
abricot#,7.267764840933041,4.300983721005033,226.06121825352812,132.18863304022585,43.14271341932101,5.646696869990154,80.1553555513238,1.9745530875386879
abricot#,6.852928075439722,5.315646304999593,230.0,126.0,48.0,2.0,87.0,1.8
abricot#moins bleu~,7.0,5.0,220.46904256522637,126.6373400432482,31.83625086864557,2.0,87.0,1.8
abricot#,5.623795185696725,4.399812191471098,237.86106411912743,116.10031549847314,47.938776379775184,-5.364786266828183,88.9908115105556,1.396856709307757
abricot#large~,6.700634683939917,5.635928829856236,230.0,126.0,48.0,2.0,87.0,1.8
abricot#moins vert~,7.0,5.0,233.29071342417066,103.01926249753122,41.212956398362486,2.0,87.0,1.8
abricot#,6.7236429010295,4.412133491010555,224.88799897975082,117.53087766939578,51.010246851007594,-3.8579172473023675,82.03077491345441,2.314003629122247
abricot#,6.893371678190696,4.5095369619934935,230.0,126.0,48.0,2.0,87.0,1.8
abricot#plus rouge~plus vert~moins bleu~,7.0,5.0,246.02821258851182,141.1258049130855,36.6495188381648,2.0,87.0,1.8
abricot#,7.1536320414087315,5.473093683249049,225.0513160509664,120.81183013209056,49.50643475488608,3.465142104051737,86.65665228109702,1.8560974629154177
abricot#fin~,6.617418628318376,4.361444373994759,230.0,126.0,48.0,2.0,87.0,1.8
abricot#moins vert~moins bleu~,7.0,5.0,228.32676158552837,115.54923201366903,32.29001594042701,2.0,87.0,1.8
abricot#,7.376801805939183,4.102824348040393,229.59306727463124,132.45165626506338,37.80808895434794,-1.4995947285099644,95.13559717869359,2.9050631780127594
abricot#,7.408278083808447,5.184383766820631,230.0,126.0,48.0,2.0,87.0,1.8
abricot#,7.0,5.0,222.33662656147243,126.06384022796396,42.776446446144284,2.0,87.0,1.8
abricot#,6.896495206497387,4.4576144253831735,226.60129455647365,130.39438404788308,39.778065492535916,9.595467051741222,91.9858717841541,1.9023682147034398
abricot#,6.981484626687423,4.876675416974955,230.0,126.0,48.0,2.0,87.0,1.8
abricot#,7.0,5.0,222.56811462630256,127.94848883245974,53.01965305360531,2.0,87.0,1.8
abricot#,6.974669156642784,4.47587717172653,213.780567238287,125.45619686844248,37.16183095097083,-4.071661590778962,90.53571815026983,2.0480007478813023
abricot#petit~,5.966614773615967,4.476579660320358,230.0,126.0,48.0,2.0,87.0,1.8
abricot#,7.0,5.0,234.0786839280611,132.9956825935525,45.52995823674646,2.0,87.0,1.8
abricot#,6.838992899603927,4.764709901644678,234.12599804401745,132.23099736605994,45.797948665564235,0.49840618170667605,80.47908697362122,1.7763496726369095
abricot#petit~,6.248612298121098,4.7141613479593145,230.0,126.0,48.0,2.0,87.0,1.8
abricot#plus vert~,7.0,5.0,223.4216032518751,138.56283891846897,39.10387461466662,2.0,87.0,1.8
abricot#,7.376876878048891,5.411007759787884,233.79981526212083,130.64634105497223,56.510070187802455,3.51815972394015,82.84380991950187,2.4154008237520386
abricot#fin~,7.143723499282542,4.277866670131694,230.0,126.0,48.0,2.0,87.0,1.8
abricot#plus rouge~,7.0,5.0,244.17517475695675,126.58331782361721,55.31254218247802,2.0,87.0,1.8
abricot#,7.225331661898609,5.41459486342664,238.2317752134388,126.39708302518952,51.861746361593916,0.7369536465453885,77.93623159905664,2.4467801671032925
abricot#petit~fin~,6.28617754440239,4.397054327951101,230.0,126.0,48.0,2.0,87.0,1.8
abricot#plus rouge~,7.0,5.0,256.3902593721972,120.5495522240302,42.31338511121695,2.0,87.0,1.8
abricot#,6.623556611550359,5.574698164417678,221.94668865164664,118.68743120121023,30.390095675092134,1.3608470792850196,89.44861860467587,1.7953245669574411
abricot#long~,7.603572543940806,4.943704939834799,230.0,126.0,48.0,2.0,87.0,1.8
abricot#moins rouge~,7.0,5.0,216.26617518944028,122.36985469091273,54.738178361018086,2.0,87.0,1.8
abricot#,6.970584965278813,5.715721238058609,226.89065609915605,116.02242589312556,55.01072520061858,5.573539866664676,87.15051420399341,2.711671775990334
abricot#petit~fin~,6.434593320639963,4.386351687956495,230.0,126.0,48.0,2.0,87.0,1.8
abricot#,7.0,5.0,235.03723290893163,131.4769664247873,51.40024068085997,2.0,87.0,1.8
abricot#,6.217387893959339,4.908095640755848,247.93943296076492,122.70303131420327,62.29952057175768,7.902944023681739,90.8146513226922,0.6451555993219309
abricot#petit~large~,6.417353262454573,5.66559262625841,230.0,126.0,48.0,2.0,87.0,1.8
abricot#,7.0,5.0,236.19399479531606,129.90529203823297,54.1628708188272,2.0,87.0,1.8
abricot#,7.232920010771304,5.036416375394466,237.565186360041,132.1829121370982,64.19778949557829,5.519616561444714,86.11118576042337,1.6347956440959774
abricot#petit~,6.173529505830365,4.975337883261669,230.0,126.0,48.0,2.0,87.0,1.8
abricot#moins bleu~,7.0,5.0,231.17045305964905,135.5150182377435,32.212366448107616,2.0,87.0,1.8
abricot#,7.38937798848561,4.213518750704244,229.71666993600712,138.95441099719315,49.020095899968986,3.5258658859595853,89.2442677599091,2.160085883753763
abricot#,6.978035411312433,5.307419167200485,230.0,126.0,48.0,2.0,87.0,1.8
abricot#plus bleu~,7.0,5.0,239.19951439672502,123.74341323775751,62.29834136536236,2.0,87.0,1.8
abricot#,7.8845230563728546,4.382645225721665,229.33903624645214,124.92099845977991,50.68014489584173,-3.0760092852969327,79.09866916380645,1.409770074344908
