fruit,longueur,largeur,r,v,b,sucre,eau,fibres
abricot,7.0,5.0,230.0,126.0,48.0,2.0,87.0,1.8
pomme,8.0,8.0,52.0,201.0,36.0,50.0,85.0,1.4
carotte,15.0,3.0,244.0,102.0,27.0,4.0,90.0,2.7
cerise,2.0,2.0,187.0,11.0,11.0,10.0,83.6,1.7
banane,20.0,3.0,209.0,182.0,6.0,5.0,75.8,2.0
tomate,10.0,10.0,222.0,41.0,22.0,220.0,94.0,1.2
poire,10.0,6.0,190.0,245.0,116.0,20.0,83.5,3.0
patate,10.0,8.0,255.0,203.0,96.0,10.0,78.0,1.8
prune,4.0,3.0,129.0,20.0,83.0,10.0,87.0,1.5
poivron,10.0,8.0,255.0,0.0,0.0,3.0,90.0,2.2
abricot#,7.203931585416721,4.853216340783565,230.0,126.0,48.0,2.0,87.0,1.8
abricot#moins bleu~,7.0,5.0,233.93091824513306,124.4190220307019,23.670252996217478,2.0,87.0,1.8
abricot,6.45917225467209,4.7589992138348345,242.08962127894,129.62791355738662,40.100965201132006,-1.3240443783835039,88.37697857050668,1.6561233866038312
abricot#,6.912251478947993,4.470085077493366,230.0,126.0,48.0,2.0,87.0,1.8
abricot#plus bleu~,7.0,5.0,233.6300122365719,116.0539626220554,58.1522124360137,2.0,87.0,1.8
abricot,6.788460155702816,6.000466235179608,223.0514207925635,122.57645467307664,57.6625903416017,-6.1543609610365895,84.32658852987095,1.9591914193649869
abricot#,6.728936707159174,4.718031987365991,230.0,126.0,48.0,2.0,87.0,1.8
abricot#,7.0,5.0,227.44291507258438,128.61558849868453,43.749721045938266,2.0,87.0,1.8
abricot,6.977960644819146,5.57092378735657,211.4789426595466,126.97121231773119,41.6521875651422,5.921125966934488,87.26430735242599,2.361263521158454
abricot#long~large~,7.803287243417427,5.92102846049792,230.0,126.0,48.0,2.0,87.0,1.8
abricot#,7.0,5.0,222.1116243312221,120.65173801132049,42.680040630297434,2.0,87.0,1.8
abricot,7.212274419022435,4.418627644246726,240.3791805644,115.73994581652886,54.27214114003892,0.9207171250116748,90.23884421197724,1.1822966221446087
abricot#fin~,7.424089139474875,3.3643723459130364,230.0,126.0,48.0,2.0,87.0,1.8
abricot#moins rouge~,7.0,5.0,218.91438494931558,124.38352554081915,52.126067820464534,2.0,87.0,1.8
abricot,6.868846481327145,5.572717227547117,236.3996661748063,133.90147249692535,43.094894012332595,-2.722551620906289,86.32415988682894,2.162924478862115
abricot#,6.627778381358138,5.203987266547451,230.0,126.0,48.0,2.0,87.0,1.8
abricot#,7.0,5.0,229.76533554166835,116.98170306979614,42.69160222546182,2.0,87.0,1.8
abricot,7.15232906318835,5.369703410901998,210.31904370840496,114.29225185007395,43.71344600460972,-1.1408466630176668,81.89639915836476,1.9439900337083609
abricot#,6.57896878244929,5.0321859081999545,230.0,126.0,48.0,2.0,87.0,1.8
abricot#plus rouge~moins vert~,7.0,5.0,244.17906719266134,115.14338670856236,47.28753323878774,2.0,87.0,1.8
abricot,7.303479253166259,4.739532924786523,225.25102685506536,130.01416082938243,49.091032589011796,3.9022376811132236,86.19464626173995,2.215659162539184
abricot#,6.738432792271983,5.235961566535284,230.0,126.0,48.0,2.0,87.0,1.8
abricot#,7.0,5.0,224.41503153962577,135.87204262988374,53.521973705631716,2.0,87.0,1.8
abricot,7.648168117144465,5.4283989053516,225.38213948858873,124.76813650683405,57.27678363393113,3.573579025881852,95.30444402403381,2.2698340203441494
abricot#long~,7.555611264332813,4.7552169245202265,230.0,126.0,48.0,2.0,87.0,1.8
abricot#,7.0,5.0,225.4154391649952,117.56632289497294,41.03221093027226,2.0,87.0,1.8
abricot,6.78617920067008,5.263619615265127,238.93900476861927,120.34203712730687,32.554487270522515,-2.2151802508183485,85.96297381153528,1.6733232466410113
abricot#,6.734579050910079,4.60866303062356,230.0,126.0,48.0,2.0,87.0,1.8
abricot#moins vert~,7.0,5.0,232.7213483653107,109.65632862196546,55.24528593405511,2.0,87.0,1.8
abricot,7.2283418613586905,5.56812785941363,218.75145314618513,142.95082407046038,54.250106735403406,-1.6992429127726085,84.77834801780317,0.26800107995598377
abricot#,6.619920550461035,4.5007082020120714,230.0,126.0,48.0,2.0,87.0,1.8
abricot#moins vert~,7.0,5.0,228.9355552786188,110.9068393939799,52.47604444537989,2.0,87.0,1.8
abricot,7.20067121991932,3.9383678677546787,218.96565145849144,119.89476464926041,32.243866742335975,-1.0194306705451797,93.84077680230723,2.0343954525062706
abricot#,6.501237481028805,5.301894243956318,230.0,126.0,48.0,2.0,87.0,1.8
abricot#,7.0,5.0,231.01496236469163,127.37033179558114,42.630032424016946,2.0,87.0,1.8
abricot,6.810719505625037,6.07565853131997,239.04336368240598,121.53355982779037,44.786068628704676,-10.0295275831233,71.42737606046025,1.8650159336191208
abricot#long~,7.55634201421152,4.594552112491807,230.0,126.0,48.0,2.0,87.0,1.8
abricot#plus vert~,7.0,5.0,224.3792670213411,147.28062749843232,40.926340740894844,2.0,87.0,1.8
abricot,7.017077678515424,4.886133347924649,218.63291005148554,146.55477999226912,43.872012501484306,13.392626385021769,81.82408345698154,1.2068444942899679
abricot#long~,7.591655646970444,5.412737338225681,230.0,126.0,48.0,2.0,87.0,1.8
abricot#moins vert~,7.0,5.0,231.47101148066855,113.74744023970848,57.86151036609935,2.0,87.0,1.8
abricot,7.559106749256551,4.620599413929697,235.41471264556895,136.46267927340844,43.36884088613162,-1.0027297832897277,89.74975520783528,1.9191717451194974
abricot#,7.02680574869499,4.99893894721292,230.0,126.0,48.0,2.0,87.0,1.8
