fruit,longueur,largeur,r,v,b,sucre,eau,fibres
abricot#long~,8.043516675226774,4.677478977892901,230.0,126.0,48.0,2.0,87.0,1.8
abricot#plus rouge~,7.0,5.0,241.07803626326165,120.80883834402435,53.96067917477186,2.0,87.0,1.8
abricot#,7.5344594847047714,5.2316972045622325,248.02026606724758,123.60302027523493,50.00992569330111,-0.08475828832883003,89.80569454092455,1.334302535900295
abricot#,7.0627343185651075,4.5223922130795975,230.0,126.0,48.0,2.0,87.0,1.8
abricot#moins vert~plus bleu~,7.0,5.0,229.55617111973896,110.84788501508015,60.02899243219101,2.0,87.0,1.8
abricot#,7.372445960855449,5.458784989049367,225.89448406416864,144.76383449811146,37.72303119749935,1.3550421966738704,83.03623644087807,0.7546739364826622
abricot#,7.350915480145959,5.254898128884152,230.0,126.0,48.0,2.0,87.0,1.8
abricot#,7.0,5.0,228.08050888489174,129.1040561244273,45.00824730120119,2.0,87.0,1.8
abricot#,7.219875591628909,5.298547669150067,204.52958052667125,123.29500043589994,29.824479507705135,4.304301406293616,82.56311018603512,1.9745665329238355
abricot#,7.314308731826326,4.871895775182921,230.0,126.0,48.0,2.0,87.0,1.8
abricot#plus bleu~,7.0,5.0,223.6452344232715,117.22533662478584,65.95701371335696,2.0,87.0,1.8
abricot#,8.025185911535871,5.473812668730932,210.45255822286197,120.94236749802361,64.60287686497078,5.674777048216935,89.17604842409865,2.1143039939481376
abricot#,7.200411135593841,5.516454159669545,230.0,126.0,48.0,2.0,87.0,1.8
abricot#,7.0,5.0,235.87415429520198,123.80969906772303,53.333125061864315,2.0,87.0,1.8
abricot#,7.493382369292456,5.134182292002988,236.9850648749164,122.39350660492144,47.289387642728414,-4.7244282818979695,95.470856888909,2.037047548549046
abricot#,6.910651100752328,4.9569775930651,230.0,126.0,48.0,2.0,87.0,1.8
abricot#plus bleu~,7.0,5.0,224.7783187728508,118.6883032045577,64.39047403820553,2.0,87.0,1.8
abricot#,7.542233396214735,5.506393621670075,223.41016926242037,126.00306897457706,58.29659173459058,-6.749456285238843,95.63947037895687,0.6658259465519432
abricot#petit~,5.981736491430828,5.143140121074392,230.0,126.0,48.0,2.0,87.0,1.8
abricot#plus bleu~,7.0,5.0,227.55685668789513,127.04362395728474,71.80962631060076,2.0,87.0,1.8
abricot#,6.723915829074531,4.671314420980208,228.0357776868475,134.18207452314,45.93292459069079,-3.4038559221994023,90.2987495076736,1.1306382591191941
abricot#,6.615196773987061,4.6298934795880555,230.0,126.0,48.0,2.0,87.0,1.8
abricot#,7.0,5.0,227.25007487327073,130.84524292221275,40.76397800467588,2.0,87.0,1.8
abricot#,6.762197709358945,5.241127286555119,223.60810402394162,133.42868196214323,53.26527100390648,3.3435596828594285,96.49257370479549,1.3892615010938378
abricot#large~,6.950099188088354,6.535172018341796,230.0,126.0,48.0,2.0,87.0,1.8
abricot#,7.0,5.0,221.130048200176,134.96910775291056,45.137850400137964,2.0,87.0,1.8
abricot#,6.225611362168406,4.844313967695224,229.19861647392295,121.89141157224051,44.42978905031373,7.621101395235653,86.08297971418656,1.0012030014040594
abricot#,7.188794172473532,4.828290522894785,230.0,126.0,48.0,2.0,87.0,1.8
